Symbol,Date,Open,High,Low,Close
KSE-100,17-May-18,42257.51,42276.95,41833.6,41869.65
KSE-100,18-May-18,41848.15,41976.04,41453.47,41623.52
KSE-100,21-May-18,41721.39,41912.68,41587.96,41648.65
KSE-100,22-May-18,41657.6,42770.41,41657.6,42744.82
KSE-100,23-May-18,42794.31,43060.68,42676.51,42772.25
KSE-100,24-May-18,42776.83,42838.15,42446.82,42536.16
KSE-100,25-May-18,42549.15,42570.77,41998.8,42074.09
KSE-100,28-May-18,42051.93,42543.27,41872.31,42138.57
KSE-100,29-May-18,42146.76,42667.69,42112.75,42622.74
KSE-100,30-May-18,42667.17,42774.88,42337.51,42546.48
KSE-100,31-May-18,42574.6,42919.72,42496.37,42846.64
KSE-100,01-Jun-18,42780.91,42970.13,42749.42,42912.81
KSE-100,04-Jun-18,42903.41,43293.91,42832.94,43268.29
KSE-100,05-Jun-18,43295.58,43747.18,43196.38,43702.58
KSE-100,06-Jun-18,43767.67,44170.72,43679.68,44144.2
KSE-100,07-Jun-18,44178.85,44333.17,43892.86,43948.11
KSE-100,11-Jun-18,44046,44245.28,43838.17,43931.16
KSE-100,12-Jun-18,43893.15,43968.33,43142.12,43228.9
KSE-100,13-Jun-18,43217.2,43589.72,43217.2,43507.5
KSE-100,14-Jun-18,43535.38,43731.13,43458.14,43680.68
KSE-100,19-Jun-18,43699.37,43825.11,43511.63,43682.84
KSE-100,20-Jun-18,43683.32,43746.21,42954.89,43002.83
KSE-100,21-Jun-18,42881.74,42881.74,42296.07,42358.61
KSE-100,22-Jun-18,42336.83,42499.86,41557.36,41637.38
KSE-100,25-Jun-18,41642.41,41843.09,40898.47,40978.23
KSE-100,26-Jun-18,41006.75,41526.57,40994.15,41246.09
KSE-100,27-Jun-18,41281.45,41817.21,41281.45,41717.99
KSE-100,28-Jun-18,41710.35,42077.66,41539.29,41997.85
KSE-100,29-Jun-18,41998.66,42081.88,41750.01,41910.9
KSE-100,02-Jul-18,41948.67,42136.52,41609.7,41734.05
KSE-100,03-Jul-18,41738.36,41749.14,41513.02,41564.42
KSE-100,04-Jul-18,41548.23,41548.23,40274.72,40345.68
KSE-100,05-Jul-18,40350.51,40755.22,40106.01,40238.81
KSE-100,06-Jul-18,40223.75,40435.97,40027.46,40284.14
KSE-100,09-Jul-18,40349.25,40372.9,39067.15,39288.48
KSE-100,10-Jul-18,39261.36,39569.79,38561.31,39452.81
KSE-100,11-Jul-18,39467.64,40061.59,39201.32,39586.76
KSE-100,12-Jul-18,39570.24,39916.44,39236.73,39875.12
KSE-100,13-Jul-18,39856.68,40391.42,39851.61,40271
KSE-100,16-Jul-18,40394.3,40464.86,39396.37,39665.77
KSE-100,17-Jul-18,39658.99,40012.61,39330.88,39932.98
KSE-100,18-Jul-18,40017.55,40980.46,40005.97,40897.9
KSE-100,19-Jul-18,41298.73,41898.75,41298.73,41795.59
KSE-100,20-Jul-18,41810.96,41812.17,41157.45,41221.75
KSE-100,23-Jul-18,41217.85,41219.17,40417.77,40463.98
KSE-100,24-Jul-18,40494.45,41467.85,40485.66,41339.22
KSE-100,26-Jul-18,42106.57,42136.32,41698.35,42089.16
KSE-100,27-Jul-18,42089.56,42845.49,42009.41,42786.45
KSE-100,30-Jul-18,43045.59,43605.04,43045.59,43556.63
KSE-100,31-Jul-18,43638.76,43638.86,42603.1,42712.43
KSE-100,01-Aug-18,42742.89,42942.23,42527.44,42810.04
KSE-100,02-Aug-18,42936.7,42977.91,42286.2,42330.32
KSE-100,03-Aug-18,42233.74,42553.37,42097.07,42505.05
KSE-100,06-Aug-18,42564.41,42854.32,42452.97,42808.66
KSE-100,07-Aug-18,42838.3,42993.18,42705.04,42760.13
KSE-100,08-Aug-18,42784.8,42857.12,42639.24,42731.86
KSE-100,09-Aug-18,42760.66,42960.94,42695.22,42923.95
KSE-100,10-Aug-18,42957.1,43115.52,42798.88,42842.18
KSE-100,13-Aug-18,42813.29,42858.74,42594.14,42637.58
KSE-100,15-Aug-18,42764.95,42852.57,42368.07,42446.56
KSE-100,16-Aug-18,42422.98,42483.11,41750.54,41960.8
KSE-100,17-Aug-18,42006.53,42552.84,41992.16,42446.62
KSE-100,20-Aug-18,42610.88,42701.87,42309.05,42425.1
KSE-100,24-Aug-18,42445.43,42618.16,42280.54,42588.29
